ODivision,Jornada,EquipoLocal,EquipoVisitante,GolesLocal,GolesVisitante
Segunda Fuerza,1,TECOS,ATLAS CUAJIMALPA,1,0
Segunda Fuerza,1,GALÁCTICOS,MEXIQUENSE,2,2
Segunda Fuerza,1,INDEPENDIENTE,DEP. SANTY,4,1
Segunda Fuerza,1,JUVENTUD CENTRO,CHELSEA,6,3
Segunda Fuerza,1,OLYMPUS,FRANCIA,0,1
Segunda Fuerza,1,DEP. RUBÍ,CORINTHIANS,4,2
Segunda Fuerza,2,RAFAGA B,DEP. RUBÍ,3,2
Segunda Fuerza,2,ATLAS CUAJIMALPA,OLYMPUS,3,3
Segunda Fuerza,2,MEXIQUENSE,JUV. PUMAS,5,0
Segunda Fuerza,2,GALÁCTICOS,DEP. SANTY,3,3
Segunda Fuerza,2,INDEPENDIENTE,CORINTHIANS,8,0
Segunda Fuerza,2,CHELSEA,FRANCIA,2,2
Segunda Fuerza,2,TECOS,JUVENTUD CENTRO,2,0
Segunda Fuerza,3,ATLAS CUAJIMALPA,DEP. RUBÍ,5,1
Segunda Fuerza,3,TECOS,JUV. PUMAS,2,1
Segunda Fuerza,3,RAFAGA B,INDEPENDIENTE,1,5
Segunda Fuerza,3,DEP. SANTY,JUVENTUD CENTRO,1,3
Segunda Fuerza,3,MEXIQUENSE,ARGENTINA,4,1
Segunda Fuerza,3,FRANCIA,LA PIEDAD,0,2
Segunda Fuerza,3,GALÁCTICOS,CORINTHIANS,1,0
Segunda Fuerza,3,OLYMPUS,ARGENTINA,1,0
Segunda Fuerza,3,CHELSEA,ARGENTINA,1,0
Segunda Fuerza,4,JUV. PUMAS,DEP. RUBÍ,3,3
Segunda Fuerza,4,FRANCIA,DEP. SANTY,1,2
Segunda Fuerza,4,GALÁCTICOS,RAFAGA B,3,1
Segunda Fuerza,4,OLYMPUS,LA PIEDAD,1,0
Segunda Fuerza,4,JUVENTUD CENTRO,MEXIQUENSE,0,6
Segunda Fuerza,4,ATLAS CUAJIMALPA,CORINTHIANS,4,0
Segunda Fuerza,4,TECOS,CHELSEA,1,2
Segunda Fuerza,4,INDEPENDIENTE,ARGENTINA,1,0
Segunda Fuerza,5,DEP. SANTY,JUV. PUMAS,2,4
Segunda Fuerza,5,DEP. RUBÍ,LA PIEDAD,3,0
Segunda Fuerza,5,FRANCIA,JUVENTUD CENTRO,1,1
Segunda Fuerza,5,MEXIQUENSE,CORINTHIANS,1,0
Segunda Fuerza,5,CHELSEA,OLYMPUS,3,1
Segunda Fuerza,5,ATLAS CUAJIMALPA,RAFAGA B,4,0
Segunda Fuerza,5,GALÁCTICOS,INDEPENDIENTE,0,4
Segunda Fuerza,5,TECOS,ARGENTINA,1,0
Segunda Fuerza,6,JUVENTUD CENTRO,GALÁCTICOS,2,4
Segunda Fuerza,6,MEXIQUENSE,DEP. RUBÍ,3,0
Segunda Fuerza,6,JUV. PUMAS,FRANCIA,2,3
Segunda Fuerza,6,LA PIEDAD,DEP. SANTY,0,1
Segunda Fuerza,6,TECOS,INDEPENDIENTE,1,4
Segunda Fuerza,6,RAFAGA B,CHELSEA,2,1
Segunda Fuerza,6,ATLAS CUAJIMALPA,ARGENTINA,1,0
Segunda Fuerza,6,OLYMPUS,CORINTHIANS,1,0
Segunda Fuerza,7,DEP. RUBÍ,OLYMPUS,5,1
Segunda Fuerza,7,ATLAS CUAJIMALPA,JUVENTUD CENTRO,4,1
Segunda Fuerza,7,INDEPENDIENTE,TECOS,0,2
Segunda Fuerza,7,GALÁCTICOS,JUV. PUMAS,1,1
Segunda Fuerza,7,DEP. SANTY,MEXIQUENSE,0,1
Segunda Fuerza,7,FRANCIA,LA PIEDAD,5,1
Segunda Fuerza,7,CHELSEA,ARGENTINA,1,0
