Division,Jornada,EquipoLocal,EquipoVisitante,GolesLocal,GolesVisitante
Tercera Fuerza,1,SAN MATEO,SEÑALAMIENTOS,0,4
Tercera Fuerza,1,FELINOS,TAKA TAKA,1,3
Tercera Fuerza,1,DIABLOS ROJOS,TIGRES,0,1
Tercera Fuerza,1,DEP. ESTRELLA,ROMA,0,3
Tercera Fuerza,1,RAYADOS GPE.,BORUSSIA,5,0
Tercera Fuerza,1,NUEVA GENERACIÓN,ATLAS,2,5
Tercera Fuerza,1,TOLUCA SAN GASPAR,DEP. CHIPO,1,6
Tercera Fuerza,1,ATENAS,DEP. BRUJAS,1,0
Tercera Fuerza,2,ATLAS,TOLUCA SAN GASPAR,7,1
Tercera Fuerza,2,RAYADOS GPE.,FELINOS,0,2
Tercera Fuerza,2,DIABLOS ROJOS,DEP. OBREGÓN,4,1
Tercera Fuerza,2,SAN MATEO,TIGRES,2,4
Tercera Fuerza,2,DEP. ÍNTIMO,ATENAS,0,2
Tercera Fuerza,2,DEP. ESTRELLA,DINAMARCA,1,0
Tercera Fuerza,2,NUEVA GENERACIÓN,TAKA TAKA,2,2
Tercera Fuerza,2,SEÑALAMIENTOS,SAN PEDRO,1,0
Tercera Fuerza,2,BORUSSIA,DEP. BRUJAS,1,0
Tercera Fuerza,2,ROMA,DEP. CHIPO,P,P
Tercera Fuerza,3,SEÑALAMIENTOS,DEP. OBREGÓN,4,0
Tercera Fuerza,3,ATENAS,DEP. ESTRELLA,2,3
Tercera Fuerza,3,DIABLOS ROJOS,SAN MATEO,1,0
Tercera Fuerza,3,TAKA TAKA,TOLUCA SAN GASPAR,4,1
Tercera Fuerza,3,BORUSSIA,DEP. ÍNTIMO,0,3
Tercera Fuerza,3,ROMA,ATLAS,4,4
Tercera Fuerza,3,RAYADOS GPE.,NUEVA GENERACIÓN,2,2
Tercera Fuerza,3,SAN PEDRO,TIGRES,1,0
Tercera Fuerza,3,DEP. CHIPO,DINAMARCA,2,0
Tercera Fuerza,3,FELINOS,DEP. BRUJAS,1,0
